County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Orange,739059,Store,JAD,BEER WORLD 8 CORP,BEER WORLD 8,217,S PLANK ROAD,,,NEWBURGH,NY,12550,3400,POINT (-74.072078 41.527981)
Albany,739058,Store,JAC,SHREEJA INC,SHREEJA,616,BROADWAY,,,WATERVLIET,NY,12189,0,POINT (-73.712 42.707339)
Kings,739056,Store,JAC,LA FLOR DELI GROCERY CORP,LA FLOR DELI GROCERY,578,LIVONIA AVENUE,,,BROOKLYN,NY,11207,1200,POINT (-73.895794 40.6645)
Queens,739054,Store,JAC,MI PUEBLITO GROCERY INC,MI PUEBLITO GROCERY,32-63,81ST STREET,,,EAST ELMHURST,NY,11370,900,POINT (-73.886349 40.755712)
Monroe,739053,Store,JAC,SARAY MARKET CORP,7 ELEVEN STORE #35104A,4320,CULVER ROAD,,,ROCHESTER,NY,14622,0,POINT (-77.546928 43.227456)
Nassau,739052,Store,JAC,115 JERICHO CONVENIENCE INC,7 ELEVEN STORE #25690D,115,JERICHO TURNPIKE,,,JERICHO,NY,11753,1800,POINT (-73.55912 40.780336)
Bronx,739051,Store,JAC,2470 EL DUKE GOURMET DELI CORP,2470 EL DUKE GOURMET DE,2470,BEAUMONT AVENUE,,,BRONX,NY,10458,1200,POINT (-73.883357 40.855944)
Bronx,739049,Store,JAC,GRACE GRAND GROCERY CORP,GRACE GRAND GROCERY,2241,GRAND AVE,,,BRONX,NY,10453,0,POINT (-73.906195 40.858214)
Monroe,739046,Store,JAC,SCIO MINI MARKET INC,SCIO MINI MARKET,336,SCIO STREET,,,ROCHESTER,NY,14605,0,POINT (-77.596677 43.162987)
Montgomery,739045,Store,JAC,263 BOTTOMS UP DELI & GROCERY INC,263 BOTTOMS UP DELI & G,263,DIVISION STREET,,,AMSTERDAM,NY,12010,1000,POINT (-74.206144 42.947804)
Erie,739044,Store,JAC,LAVIA ITALIA LLC,LAVIA ITALIA,106,EVANS ST. B2 STE C,,,HAMBURG,NY,14075,1900,POINT (-78.844817 42.714629)
New York,739043,Store,JAC,245 EMPIRE GROCERY & DELI CORP,245 EMPIRE GROCERY & DE,245,9TH AVENUE,,,NEW YORK,NY,10001,0,POINT (-74.00042 40.747717)
Queens,739041,Store,JAC,EL SAFIRO DELI GROCERY CORP,EL SAFIRO DELI GROCERY,60-42,55TH STREET,,,MASPETH,NY,11378,0,POINT (-73.910936 40.715121)
Suffolk,739039,Store,JAC,PLAZA DELI & GRILL CORP,PLAZA DELI & GRILL,763,COMMACK RD,,,BRENTWOOD,NY,11717,1800,POINT (-73.232537 40.758705)
Kings,739038,Store,JAC,CIELO AZUL DELI GROCERY INC,CIELO AZUL DELI GROCERY,6910,8TH AVENUE,,,BROOKLYN,NY,11228,800,POINT (-74.015166 40.630098)
Queens,739037,Store,JAC,ASTORIA TOWN DELI GROCERY CORP,ASTORIA TOWN DELI GROCE,2420,DITMARS BLVD,,,ASTORIA,NY,11105,1000,POINT (-73.914584 40.778869)
Fulton,739032,Store,JAC,K2 LIQUOR LLC,SNYDERS CONVENIENT CRNR,60,ELMWOOD AVE,,,GLOVERSVILLE,NY,12078,3000,POINT (-74.32364 43.05587)
New York,739030,Store,A,PRAMUKH 36 INC,ESMOKE & CONVENIENCE,6,W. 36TH ST.,,,NEW YORK,NY,10018,300,POINT (-73.984017 40.749883)
Herkimer,739029,Store,JAC,FASTRAC EG LLC,FASTRAC EG 226 - OLD FO,,RT 28,,,OLD FORGE,NY,13420,4800,POINT (-74.91032 43.73549)
Jefferson,739023,Store,JAC,FASTRAC EG LLC,FASTRAC EG 224 - WATERT,1709,STATE ST,,,WATERTOWN,NY,13601,3600,POINT (-75.881137 43.967262)
Ulster,739020,Store,JAC,AMANDAS MACARON SHOPPE LLC,AMANDAS MACARON SHOPPE,70,LINDSLEY AVE,,,KINGSTON,NY,12401,300,POINT (-73.972826 41.927635)
Dutchess,739019,Store,JAC,THE GOLDEN RUSSET CAFE & GROCERY,THE GOLDEN RUSSET CAFE,835,FIDDLERS BRIDGE ROAD,,,RHINEBECK,NY,12572,0,POINT (-73.804659 41.87795)
New York,739017,Store,JAC,ROOTS CHAI LLC,ROOTS CHAI,1580,PARK AVE KITCHEN 3,,,NEW YORK,NY,10029,0,
Jefferson,739016,Store,JABC,FASTRAC EG LLC,FASTRAC EG 222 - WATERT,20852,STATE RT 3,,,WATERTOWN,NY,13601,3600,POINT (-75.956898 43.974388)
New York,739015,Store,JAC,MAC PA LLC,WHOOPS,625,8TH AVENUE NORTH TERMINAL #,,,NEW YORK,NY,10018,0,
Bronx,739014,Store,JAC,JB GOURMET DELI CORP,JB GOURMET DELI,1822-1824,ARCHER STREET,,,BRONX,NY,10460,0,POINT (-73.866023 40.837622)
Oneida,739013,Store,JAC,FASTRAC EG LLC,FASTRAC EG 221 - N UTIC,384,N GENESEE ST,,,UTICA,NY,13502,0,POINT (-75.211076 43.116032)
Ontario,739012,Store,JAC,FASTRAC EG LLC,FASTRAC EG220 - GENEVA,371,HAMILTON ST,,,GENEVA,NY,14456,0,POINT (-76.997275 42.858282)
Monroe,739011,Store,JAC,CALABRESELLA ON PARK INC,CALABRESELLA ON PARK,210,PARK AVENUE,,,ROCHESTER,NY,14607,0,POINT (-77.590166 43.150495)
Oswego,739010,Store,JAC,FASTRAC EG LLC,FASTRAC EG 219 - MEXICO,3364,MAIN ST,,,MEXICO,NY,13114,3500,POINT (-76.237759 43.460003)
Richmond,739009,Store,JAC,GERARDIS FARMERS MARKET LLC,GERARDIS FARMERS MARKET,644,RICHMOND TERR,,,STATEN ISLAND,NY,10301,3000,POINT (-74.092787 40.645493)
Erie,739008,Store,A,RUSS ROSEMARIE M,BEST OF HEALTH,,: 4275 DELAWARE AVE,,,TONAWANDA,NY,14150,1400,POINT (-78.867291 42.999597)
Kings,739004,Store,JAC,EL DESECHO DELI GROCERY CORP,EL DESECHO DELI GROCERY,1874,FULTON STREET,,,BROOKLYN,NY,11233,0,POINT (-73.924406 40.679023)
Onondaga,739003,Store,JAC,FASTRAC EG LLC,FASTRAC EG 218 - CICERO,5858,RT 31,,,CICERO,NY,13039,2100,
Onondaga,739001,Store,JAC,FASTRAC EG LLC,FASTRAC EG 214 - SYRACU,800,ERIE BLVD W,,,SYRACUSE,NY,13204,5000,POINT (-76.171619 43.048094)
Oswego,739000,Store,JABC,FASTRAC EG LLC,FASTRAC EG 212 - FULTON,258,SOUTH SECOND ST,,,FULTON,NY,13069,3600,POINT (-76.412895 43.318916)
Wayne,738999,Store,JAC,FASTRAC EG LLC,FASTRAC EG 211 - ONTARI,1933,RT 104,,,ONTARIO,NY,14519,0,POINT (-77.28817 43.227523)
Cayuga,738998,Store,JAC,FASTRAC EG LLC,FASTRAC EG 210 - WEEDSP,9027,N SENECA ST,,,WEEDSPORT,NY,13166,2000,POINT (-76.558677 43.054501)
